Rank,Metropolitan statistical area,2021 estimate,2020 Census,% change,Encompassing combined statistical area
1,"New York-Newark-Jersey City, NY-NJ-PA MSA","19,768,458","20,140,470",−1.85%,"New York-Newark, NY-NJ-CT-PA CSA"
2,"Los Angeles-Long Beach-Anaheim, CA MSA","12,997,353","13,200,998",−1.54%,"Los Angeles-Long Beach, CA CSA"
3,"Chicago-Naperville-Elgin, IL-IN-WI MSA","9,509,934","9,618,502",−1.13%,"Chicago-Naperville, IL-IN-WI CSA"
4,"Dallas-Fort Worth-Arlington, TX MSA","7,759,615","7,637,387",1.60%,"Dallas-Fort Worth, TX-OK CSA"
5,"Houston-The Woodlands-Sugar Land, TX MSA","7,206,841","7,122,240",1.19%,"Houston-The Woodlands, TX CSA"
6,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","6,356,434","6,385,162",−0.45%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
7,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","6,228,601","6,245,051",−0.26%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
8,"Atlanta-Sandy Springs-Alpharetta, GA MSA","6,144,050","6,089,815",0.89%,"Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA"
9,"Miami-Fort Lauderdale-West Palm Beach, FL MSA","6,091,747","6,138,333",−0.76%,"Miami-Port St. Lucie-Fort Lauderdale, FL CSA"
10,"Phoenix-Mesa-Chandler, AZ MSA","4,946,145","4,845,832",2.07%,"Phoenix-Mesa, AZ CSA"
11,"Boston-Cambridge-Newton, MA-NH MSA","4,899,932","4,941,632",−0.84%,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
12,"Riverside-San Bernardino-Ontario, CA MSA","4,653,105","4,599,839",1.16%,"Los Angeles-Long Beach, CA CSA"
13,"San Francisco-Oakland-Berkeley, CA MSA","4,623,264","4,749,008",−2.65%,"San Jose-San Francisco-Oakland, CA CSA"
14,"Detroit–Warren–Dearborn, MI MSA","4,365,205","4,392,041",−0.61%,"Detroit-Warren-Ann Arbor, MI CSA"
15,"Seattle-Tacoma-Bellevue, WA MSA","4,011,553","4,018,762",−0.18%,"Seattle-Tacoma, WA CSA"
16,"Minneapolis-St. Paul-Bloomington, MN-WI MSA","3,690,512","3,690,261",0.01%,"Minneapolis-St. Paul, MN-WI CSA"
17,"San Diego-Chula Vista-Carlsbad, CA MSA","3,286,069","3,298,634",−0.38%,
18,"Tampa-St. Petersburg-Clearwater, FL MSA","3,219,514","3,175,275",1.39%,
19,"Denver-Aurora-Lakewood, CO MSA","2,972,566","2,963,821",0.30%,"Denver-Aurora, CO CSA"
20,"Baltimore-Columbia-Towson, MD MSA","2,838,327","2,844,510",−0.22%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
21,"St. Louis, MO-IL MSA","2,809,299","2,820,253",−0.39%,"St. Louis-St. Charles-Farmington, MO-IL CSA"
22,"Charlotte-Concord-Gastonia, NC-SC MSA","2,701,046","2,660,329",1.53%,"Charlotte-Concord, NC-SC CSA"
23,"Orlando-Kissimmee-Sanford, FL MSA","2,691,925","2,673,376",0.69%,"Orlando-Lakeland-Deltona, FL CSA"
24,"San Antonio-New Braunfels, TX MSA","2,601,788","2,558,143",1.71%,"San Antonio-New Braunfels-Pearsall, TX CSA"
25,"Portland-Vancouver-Hillsboro, OR-WA MSA","2,511,612","2,512,859",−0.05%,"Portland-Vancouver–Salem, OR-WA CSA"
26,"Sacramento-Roseville-Folsom, CA MSA","2,411,428","2,397,382",0.59%,"Sacramento-Roseville, CA CSA"
27,"Pittsburgh, PA MSA","2,353,538","2,370,930",−0.73%,"Pittsburgh-New Castle-Weirton, PA-OH-WV CSA"
28,"Austin-Round Rock, TX MSA","2,352,426","2,283,371",3.02%,
29,"Las Vegas-Henderson-Paradise, NV MSA","2,292,476","2,265,461",1.19%,"Las Vegas-Henderson, NV-AZ CSA"
30,"Cincinnati, OH-KY-IN MSA","2,259,935","2,256,884",0.14%,"Cincinnati-Wilmington-Maysville, OH-KY-IN CSA"
31,"Kansas City, MO-KS MSA","2,199,490","2,192,035",0.34%,"Kansas City-Overland Park-Kansas City, MO-KS CSA"
32,"Columbus, OH MSA","2,151,017","2,138,926",0.57%,"Columbus-Marion-Zanesville, OH CSA"
33,"Indianapolis-Carmel-Anderson, IN MSA","2,126,804","2,111,040",0.75%,"Indianapolis-Carmel-Muncie, IN CSA"
34,"Cleveland-Elyria, OH MSA","2,075,662","2,088,251",−0.60%,"Cleveland-Akron-Canton, OH CSA"
35,"Nashville-Davidson–Murfreesboro–Franklin, TN MSA","2,012,476","1,989,519",1.15%,"Nashville-Davidson–Murfreesboro, TN CSA"
36,"San Jose-Sunnyvale-Santa Clara, CA MSA","1,952,185","2,000,468",−2.41%,"San Jose-San Francisco-Oakland, CA CSA"
37,"Virginia Beach-Norfolk-Newport News, VA-NC MSA","1,803,328","1,799,674",0.20%,"Virginia Beach-Norfolk, VA-NC CSA"
38,"Providence-Warwick, RI-MA MSA","1,675,774","1,676,579",−0.05%,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
39,"Jacksonville, FL MSA","1,637,666","1,605,848",1.98%,"Jacksonville-St. Marys-Palatka, FL-GA CSA"
40,"Milwaukee-Waukesha, WI MSA","1,566,487","1,574,731",−0.52%,"Milwaukee-Racine-Waukesha, WI CSA"
41,"Raleigh-Cary, NC MSA","1,448,411","1,413,982",2.43%,"Raleigh-Durham-Cary, NC CSA"
42,"Oklahoma City, OK MSA","1,441,647","1,425,695",1.12%,"Oklahoma City-Shawnee, OK CSA"
43,"Memphis, TN-MS-AR MSA","1,336,103","1,337,779",−0.13%,"Memphis-Forrest City, TN-MS-AR CSA"
44,"Richmond, VA MSA","1,324,062","1,314,434",0.73%,
45,"Louisville/Jefferson County, KY-IN MSA","1,284,566","1,285,439",−0.07%,"Louisville/Jefferson County–Elizabethtown–Bardstown, KY-IN CSA"
46,"Salt Lake City, UT MSA","1,263,061","1,257,936",0.41%,"Salt Lake City-Provo-Ogden, UT CSA"
47,"New Orleans-Metairie, LA MSA","1,261,726","1,271,845",−0.80%,"New Orleans-Metairie-Hammond, LA-MS CSA"
48,"Hartford-East Hartford-Middletown, CT MSA","1,211,906","1,213,531",−0.13%,"Hartford-East Hartford, CT CSA"
49,"Buffalo-Niagara Falls, NY MSA","1,162,336","1,166,902",−0.39%,"Buffalo-Cheektowaga-Cattaraugus, NY CSA"
50,"Birmingham-Hoover, AL MSA","1,114,262","1,115,289",−0.09%,"Birmingham-Hoover-Talladega, AL CSA"
51,"Grand Rapids-Kentwood, MI MSA","1,091,620","1,087,592",0.37%,"Grand Rapids-Kentwood-Muskegon, MI CSA"
52,"Rochester, NY MSA","1,084,973","1,090,135",−0.47%,"Rochester-Batavia-Seneca Falls, NY CSA"
53,"Tucson, AZ MSA","1,052,030","1,043,433",0.82%,"Tucson-Nogales, AZ CSA"
54,"Tulsa, OK MSA","1,023,988","1,015,331",0.85%,"Tulsa-Muskogee-Bartlesville, OK CSA"
55,"Fresno, CA MSA","1,013,581","1,008,654",0.49%,"Fresno-Madera-Hanford, CA CSA"
56,"Urban Honolulu, HI MSA","1,000,890","1,016,508",−1.54%,
57,"Worcester, MA-CT MSA","978,447","978,529",−0.01%,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
58,"Omaha-Council Bluffs, NE-IA MSA","971,637","967,604",0.42%,"Omaha-Council Bluffs-Fremont, NE-IA CSA"
59,"Bridgeport-Stamford-Norwalk, CT MSA","959,768","957,419",0.25%,"New York-Newark, NY-NJ-CT-PA CSA"
60,"Greenville-Anderson, SC MSA","940,774","928,195",1.36%,"Greenville-Spartanburg-Anderson, SC CSA"
61,"Albuquerque, NM MSA","918,259","916,528",0.19%,"Albuquerque-Santa Fe-Las Vegas, NM CSA"
62,"Bakersfield, CA MSA","917,673","909,235",0.93%,
63,"Albany-Schenectady-Troy, NY MSA","899,286","899,262",0.00%,"Albany-Schenectady, NY CSA"
64,"Knoxville, TN MSA","893,412","879,773",1.55%,"Knoxville-Morristown-Sevierville, TN CSA"
65,"McAllen-Edinburg-Mission, TX MSA","880,356","870,781",1.10%,"McAllen-Edinburg, TX CSA"
66,"Baton Rouge, LA MSA","871,905","870,569",0.15%,
67,"El Paso, TX MSA","871,234","868,859",0.27%,"El Paso-Las Cruces, TX-NM CSA"
68,"Allentown-Bethlehem-Easton, PA-NJ MSA","865,310","861,889",0.40%,
69,"New Haven-Milford, CT MSA","863,700","864,835",−0.13%,"New York-Newark, NY-NJ-CT-PA CSA"
70,"North Port-Sarasota-Bradenton, FL MSA","859,760","833,716",3.12%,"North Port-Sarasota, FL CSA"
71,"Oxnard-Thousand Oaks-Ventura, CA MSA","839,784","843,843",−0.48%,"Los Angeles-Long Beach, CA CSA"
72,"Columbia, SC MSA","838,250","829,470",1.06%,"Columbia-Orangeburg-Newberry, SC CSA"
73,"Dayton, OH MSA","813,516","814,049",−0.07%,"Dayton-Springfield-Kettering, OH CSA"
74,"Charleston-North Charleston, SC MSA","813,052","799,636",1.68%,
75,"Boise City, ID MSA","795,268","764,718",3.99%,"Boise City-Mountain Home-Ontario, ID-OR CSA"
76,"Stockton, CA MSA","789,410","779,233",1.31%,"San Jose-San Francisco-Oakland, CA CSA"
77,"Cape Coral-Fort Myers, FL MSA","787,976","760,822",3.57%,"Cape Coral-Fort Myers-Naples, FL CSA"
78,"Greensboro-High Point, NC MSA","778,848","776,566",0.29%,"Greensboro–Winston-Salem–High Point, NC CSA"
79,"Colorado Springs, CO MSA","762,793","755,105",1.02%,
80,"Lakeland-Winter Haven, FL MSA","753,520","725,046",3.93%,"Orlando-Lakeland-Deltona, FL CSA"
81,"Little Rock-North Little Rock-Conway, AR MSA","750,936","748,031",0.39%,"Little Rock-North Little Rock, AR CSA"
82,"Des Moines-West Des Moines, IA MSA","719,146","709,466",1.36%,"Des Moines-Ames-West Des Moines, IA CSA"
83,"Ogden-Clearfield, UT MSA","706,696","694,863",1.70%,"Salt Lake City-Provo-Ogden, UT CSA"
84,"Poughkeepsie-Newburgh-Middletown, NY MSA","701,637","697,221",0.63%,"New York-Newark, NY-NJ-CT-PA CSA"
85,"Akron, OH MSA","700,015","702,219",−0.31%,"Cleveland-Akron-Canton, OH CSA"
86,"Provo-Orem, UT MSA","697,141","671,185",3.87%,"Salt Lake City-Provo-Ogden, UT CSA"
87,"Springfield, MA MSA","695,305","699,162",−0.55%,
88,"Deltona-Daytona Beach-Ormond Beach, FL MSA","685,344","668,921",2.46%,"Orlando-Lakeland-Deltona, FL CSA"
89,"Madison, WI MSA","683,183","680,796",0.35%,"Madison-Janesville-Beloit, WI CSA"
90,"Winston-Salem, NC MSA","681,438","675,966",0.81%,"Greensboro–Winston-Salem–High Point, NC CSA"
91,"Syracuse, NY MSA","658,281","662,057",−0.57%,"Syracuse-Auburn, NY CSA"
92,"Durham-Chapel Hill, NC MSA","654,012","649,903",0.63%,"Raleigh-Durham-Cary, NC CSA"
93,"Wichita, KS MSA","647,919","647,610",0.05%,"Wichita-Winfield, KS CSA"
94,"Toledo, OH MSA","644,217","646,604",−0.37%,"Toledo-Findlay-Tiffin, OH CSA"
95,"Palm Bay-Melbourne-Titusville, FL MSA","616,628","606,612",1.65%,
96,"Augusta-Richmond County, GA-SC MSA","615,933","611,000",0.81%,
97,"Harrisburg-Carlisle, PA MSA","596,305","591,712",0.78%,"Harrisburg-York-Lebanon, PA CSA"
98,"Spokane-Spokane Valley, WA MSA","593,466","585,784",1.31%,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA"
99,"Jackson, MS MSA","587,202","591,978",−0.81%,"Jackson-Vicksburg-Brookhaven, MS CSA"
100,"Scranton–Wilkes-Barre, PA MSA","567,750","567,559",0.03%,
101,"Chattanooga, TN-GA MSA","567,641","562,647",0.89%,"Chattanooga-Cleveland-Dalton, TN-GA CSA"
102,"Fayetteville-Springdale-Rogers, AR MSA","560,709","546,725",2.56%,
103,"Portland-South Portland, ME MSA","556,893","551,740",0.93%,"Portland-Lewiston-South Portland, ME CSA"
104,"Lancaster, PA MSA","553,652","552,984",0.12%,
105,"Modesto, CA MSA","552,999","552,878",0.02%,"San Jose-San Francisco-Oakland, CA CSA"
106,"Lansing-East Lansing, MI MSA","540,281","541,297",−0.19%,
107,"Youngstown-Warren-Boardman, OH-PA MSA","538,069","541,243",−0.59%,"Youngstown-Warren, OH-PA CSA"
108,"Fayetteville, NC MSA","524,588","520,378",0.81%,"Fayetteville-Lumberton-Laurinburg, NC CSA"
109,"Lexington-Fayette, KY MSA","517,846","516,811",0.20%,"Lexington-Fayette–Richmond–Frankfort, KY CSA"
110,"Pensacola-Ferry Pass-Brent, FL MSA","516,388","509,905",1.27%,"Pensacola-Ferry Pass, FL-AL CSA"
111,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA","509,794","487,722",4.53%,"Myrtle Beach-Conway, SC-NC CSA"
112,"Port St. Lucie, FL MSA","503,521","487,657",3.25%,"Miami-Port St. Lucie-Fort Lauderdale, FL CSA"
113,"Huntsville, AL MSA","502,728","491,723",2.24%,"Huntsville-Decatur, AL CSA"
114,"Reno, NV MSA","497,535","490,596",1.41%,"Reno-Carson City-Fernley, NV CSA"
115,"Killeen-Temple, TX MSA","486,101","475,367",2.26%,
116,"Santa Rosa-Petaluma, CA MSA","485,887","488,863",−0.61%,"San Jose-San Francisco-Oakland, CA CSA"
117,"Springfield, MO MSA","481,483","475,432",1.27%,
118,"Lafayette, LA MSA","479,212","478,384",0.17%,"Lafayette-Opelousas-Morgan City, LA CSA"
119,"Visalia, CA MSA","477,054","473,117",0.83%,
120,"Asheville, NC MSA","472,341","469,015",0.71%,"Asheville-Marion-Brevard, NC CSA"
121,"York-Hanover, PA MSA","458,696","456,438",0.49%,"Harrisburg-York-Lebanon, PA CSA"
122,"Vallejo, CA MSA","451,716","453,491",−0.39%,"San Jose-San Francisco-Oakland, CA CSA"
123,"Santa Maria-Santa Barbara, CA MSA","446,475","448,229",−0.39%,
124,"Salinas, CA MSA","437,325","439,035",−0.39%,
125,"Salem, OR MSA","436,283","433,353",0.68%,"Portland-Vancouver-Salem, OR-WA CSA"
126,"Reading, PA MSA","429,342","428,849",0.11%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
127,"Salisbury, MD-DE MSA","429,223","418,046",2.67%,"Salisbury-Cambridge, MD-DE CSA"
128,"Mobile, AL MSA","428,220","430,197",−0.46%,"Mobile-Daphne-Fairhope, AL CSA"
129,"Manchester-Nashua, NH MSA","424,079","422,937",0.27%,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
130,"Fort Wayne, IN MSA","423,038","419,601",0.82%,"Fort Wayne-Huntington-Auburn, IN CSA"
131,"Brownsville-Harlingen, TX MSA","423,029","421,017",0.48%,"Brownsville-Harlingen-Raymondville, TX CSA"
132,"Corpus Christi, TX MSA","422,778","421,933",0.20%,"Corpus Christi-Kingsville-Alice, TX CSA"
133,"Gulfport-Biloxi, MS MSA","418,082","416,259",0.44%,
134,"Savannah, GA MSA","410,008","404,798",1.29%,"Savannah-Hinesville-Statesboro, GA CSA"
135,"Flint, MI MSA","404,208","406,211",−0.49%,"Detroit-Warren-Ann Arbor, MI CSA"
136,"Canton-Massillon, OH MSA","400,525","401,574",−0.26%,"Cleveland-Akron-Canton, OH CSA"
137,"Anchorage, AK MSA","398,807","398,328",0.12%,
138,"Peoria, IL MSA","398,224","402,391",−1.04%,
139,"Beaumont-Port Arthur, TX MSA","395,419","397,565",−0.54%,
140,"Shreveport-Bossier City, LA MSA","389,155","393,406",−1.08%,"Shreveport-Bossier City-Minden, LA CSA"
141,"Naples-Marco Island, FL MSA","385,980","375,752",2.72%,"Cape Coral-Fort Myers-Naples, FL CSA"
142,"Ocala, FL MSA","385,915","375,908",2.66%,
143,"Trenton-Princeton, NJ MSA","385,898","387,340",−0.37%,"New York-Newark, NY-NJ-CT-PA CSA"
144,"Montgomery, AL MSA","385,798","386,047",−0.06%,"Montgomery-Selma-Alexander City, AL CSA"
145,"Tallahassee, FL MSA","385,776","384,298",0.38%,
146,"Eugene-Springfield, OR MSA","383,189","382,971",0.06%,
147,"Davenport-Moline-Rock Island, IA-IL MSA","381,568","384,324",−0.72%,"Davenport-Moline, IA-IL CSA"
148,"Ann Arbor, MI MSA","369,390","372,258",−0.77%,"Detroit-Warren-Ann Arbor, MI CSA"
149,"Hickory-Lenoir-Morganton, NC MSA","366,441","365,276",0.32%,
150,"Fort Collins, CO MSA","362,533","359,066",0.97%,
151,"Huntington-Ashland, WV-KY-OH MSA","356,581","359,862",−0.91%,"Charleston-Huntington-Ashland, WV-OH-KY CSA"
152,"Lincoln, NE MSA","342,117","340,217",0.56%,"Lincoln-Beatrice, NE CSA"
153,"Gainesville, FL MSA","341,756","339,247",0.74%,"Gainesville-Lake City, FL CSA"
154,"Greeley, CO MSA","340,036","328,981",3.36%,"Denver-Aurora, CO CSA"
155,"Rockford, IL MSA","336,278","338,798",−0.74%,"Rockford-Freeport-Rochelle, IL CSA"
156,"Spartanburg, SC MSA","335,864","327,997",2.40%,"Greenville-Spartanburg-Anderson, SC CSA"
157,"Boulder, CO MSA","329,543","330,758",−0.37%,"Denver-Aurora, CO CSA"
158,"Green Bay, WI MSA","329,490","328,268",0.37%,"Green Bay-Shawano, WI CSA"
159,"Clarksville, TN-KY MSA","328,304","320,535",2.42%,
160,"Columbus, GA-AL MSA","327,536","328,883",−0.41%,"Columbus-Auburn-Opelika, GA-AL CSA"
161,"Lubbock, TX MSA","325,245","321,368",1.21%,"Lubbock-Plainview-Levelland, TX CSA"
162,"South Bend-Mishawaka, IN-MI MSA","323,695","324,501",−0.25%,"South Bend-Elkhart-Mishawaka, IN-MI CSA"
163,"Roanoke, VA MSA","314,496","315,251",−0.24%,
164,"Evansville, IN-KY MSA","313,946","314,049",−0.03%,
165,"Kingsport-Bristol, TN-VA MSA","308,661","307,614",0.34%,"Johnson City-Kingsport-Bristol, TN-VA CSA"
166,"Kennewick-Richland, WA MSA","308,293","303,622",1.54%,"Kennewick-Richland-Walla Walla, WA CSA"
167,"Hagerstown-Martinsburg, MD-WV MSA","298,227","293,844",1.49%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
168,"Olympia-Lacey-Tumwater, WA MSA","297,977","294,793",1.08%,"Seattle-Tacoma, WA CSA"
169,"Crestview-Fort Walton Beach-Destin, FL MSA","293,324","286,973",2.21%,
170,"Wilmington, NC MSA","291,833","285,905",2.07%,
171,"Duluth, MN-WI MSA","290,780","291,638",−0.29%,
172,"Utica-Rome, NY MSA","290,211","292,264",−0.70%,
173,"Longview, TX MSA","287,868","286,184",0.59%,
174,"Merced, CA MSA","286,461","281,202",1.87%,"San Jose-San Francisco-Oakland, CA CSA"
175,"San Luis Obispo-Paso Robles, CA MSA","283,159","282,424",0.26%,
